"","PLZ99","PLZORT99","area_d","bakery","bar","cafe","clothes"
"826","13409","Berlin-West",0.000312485027558415,5,0,1,1
"827","13435","Berlin-West",0.000301123040399976,0,0,0,0
"828","13437","Berlin-West",0.000549480500863164,6,0,0,4
"829","13439","Berlin-West",0.00027375227222578,3,0,1,1
"830","13465","Berlin-West",0.00106126725029041,4,0,2,0
"831","13467","Berlin-West",0.000781293867478148,2,0,1,1
"832","13469","Berlin-West",0.00105843030045847,1,0,2,0
"833","13503","Berlin-West",0.00223430597790666,3,0,2,1
"834","13505","Berlin-West",0.00136876430776322,0,0,1,0
"835","13507","Berlin-West",0.00116393069572202,18,0,12,5
"836","13509","Berlin-West",0.000599232767173185,7,0,2,1
"837","13581","Berlin-West",0.000552430855863008,4,1,3,2
"838","13583","Berlin-West",0.00030337889851621,0,0,0,0
"839","13585","Berlin-West",0.000375073419985147,5,2,4,0
"840","13587","Berlin-West",0.00223035406302602,6,1,5,0
"841","13589","Berlin-West",0.000931429915851644,1,0,2,0
"842","13591","Berlin-West",0.00113682821725438,7,0,2,0
"843","13593","Berlin-West",0.00077246888281026,1,0,0,1
"844","13595","Berlin-West",0.000698990157136816,2,0,5,0
"845","13597","Berlin-West",0.000543648304988904,8,3,6,9
"846","13599","Berlin-West",0.00104186353370591,4,1,2,2
"847","13627","Berlin-West",0.000591926810027369,1,0,0,0
"848","13629","Berlin-West",0.000898346584234698,7,1,4,1
"849","14050","Berlin-West",0.000443536090637422,1,0,2,0
"850","14052","Berlin-West",0.000271586157994825,4,1,6,1
"851","14053","Berlin-West",0.000364452577723838,0,0,0,0
"852","14055","Berlin-West",0.000977441093384378,1,3,5,0
"853","14057","Berlin-West",0.000191060791977557,13,1,23,2
"854","14059","Berlin-West",0.000317334472432206,6,1,13,1
"855","14089","Berlin-West",0.00318601409789334,0,0,7,1
"856","14109","Berlin-West",0.00331956287961309,3,0,5,2
"857","14129","Berlin-West",0.0014478810355854,3,0,6,0
"858","14163","Berlin-West",0.000890204313931118,8,1,10,4
"859","14165","Berlin-West",0.000469669259244649,2,1,4,3
"860","14167","Berlin-West",0.00073902180154501,2,0,1,0
"861","14169","Berlin-West",0.000384469912692034,3,1,1,4
"862","14193","Berlin-West",0.00426664906987507,4,0,4,1
"863","14195","Berlin-West",0.0010330116932286,7,0,16,0
"864","14197","Berlin-West",0.000180473339763014,6,1,4,0
"865","14199","Berlin-West",0.000349671209390957,9,1,7,2
